transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN36,19-04-2024 22:12,P2P,Fuel,721,SUCCESS,46-55,18-25,Gujarat,HDFC,ICICI,Android,3G,0,22,Friday,0
TXN37,26-07-2024 17:09,P2M,Shopping,7987,SUCCESS,18-25,36-45,Maharashtra,IndusInd,IndusInd,Android,4G,0,17,Friday,0
TXN38,16-08-2024 21:26,Bill Payment,Shopping,5154,SUCCESS,56+,36-45,Uttar Pradesh,ICICI,SBI,Web,5G,0,21,Friday,0
TXN39,23-07-2024 17:02,P2P,Entertainment,131,SUCCESS,36-45,18-25,West Bengal,Yes Bank,SBI,Web,5G,0,17,Tuesday,0
TXN40,27-02-2024 01:43,P2M,Healthcare,192,SUCCESS,26-35,26-35,Karnataka,SBI,SBI,Android,5G,0,1,Tuesday,0
TXN41,24-01-2024 10:28,Recharge,Food,82,SUCCESS,56+,18-25,Gujarat,HDFC,SBI,Android,5G,0,10,Wednesday,0
TXN42,29-10-2024 12:54,P2M,Shopping,4309,SUCCESS,56+,36-45,Maharashtra,Kotak,HDFC,Android,4G,0,12,Tuesday,0
TXN43,18-01-2024 13:49,P2P,Utilities,2338,SUCCESS,26-35,56+,Gujarat,Axis,SBI,Android,5G,0,13,Thursday,0
TXN44,17-02-2024 14:03,P2M,Food,292,SUCCESS,56+,26-35,Tamil Nadu,SBI,SBI,Android,4G,0,14,Saturday,1
TXN45,08-09-2024 09:21,P2P,Grocery,765,SUCCESS,18-25,36-45,Maharashtra,SBI,Yes Bank,iOS,WiFi,0,9,Sunday,1
TXN46,29-09-2024 21:04,P2P,Transport,51,SUCCESS,18-25,36-45,Uttar Pradesh,Axis,IndusInd,iOS,4G,0,21,Sunday,1
TXN47,04-03-2024 09:35,Bill Payment,Food,144,SUCCESS,18-25,18-25,Delhi,Yes Bank,Axis,Android,WiFi,0,9,Monday,0
TXN48,06-02-2024 17:19,P2P,Other,994,SUCCESS,18-25,36-45,Uttar Pradesh,PNB,SBI,Android,5G,0,17,Tuesday,0
TXN49,25-05-2024 17:14,P2P,Shopping,2393,SUCCESS,26-35,26-35,Maharashtra,ICICI,ICICI,Android,5G,0,17,Saturday,1
TXN50,29-02-2024 18:47,P2P,Other,864,SUCCESS,36-45,46-55,West Bengal,Yes Bank,SBI,Android,4G,0,18,Thursday,0
TXN51,05-12-2024 18:42,P2P,Transport,36,SUCCESS,36-45,36-45,Gujarat,ICICI,IndusInd,Android,WiFi,0,18,Thursday,0
TXN52,15-02-2024 10:52,P2M,Utilities,582,SUCCESS,18-25,18-25,Delhi,PNB,IndusInd,Android,4G,0,10,Thursday,0
TXN53,31-08-2024 15:47,P2P,Other,364,SUCCESS,36-45,26-35,Gujarat,SBI,HDFC,iOS,4G,0,15,Saturday,1
TXN54,11-01-2024 18:25,P2P,Other,203,SUCCESS,36-45,18-25,Delhi,SBI,IndusInd,Android,4G,0,18,Thursday,0
TXN55,29-04-2024 18:29,P2M,Shopping,4987,SUCCESS,56+,26-35,Karnataka,PNB,Yes Bank,iOS,4G,0,18,Monday,0
TXN56,13-09-2024 10:41,P2P,Entertainment,213,SUCCESS,26-35,18-25,West Bengal,HDFC,Yes Bank,Android,4G,0,10,Friday,0
TXN57,07-10-2024 05:43,P2M,Healthcare,1315,SUCCESS,26-35,18-25,West Bengal,HDFC,PNB,Android,4G,0,5,Monday,0
TXN58,16-01-2024 21:57,P2P,Grocery,2685,SUCCESS,36-45,26-35,Gujarat,SBI,Kotak,Android,4G,0,21,Tuesday,0
TXN59,21-11-2024 15:54,P2M,Entertainment,220,SUCCESS,18-25,18-25,Karnataka,PNB,ICICI,Android,4G,0,15,Thursday,0
TXN60,14-10-2024 19:49,P2M,Fuel,1831,SUCCESS,36-45,26-35,Delhi,PNB,Kotak,iOS,5G,0,19,Monday,0
TXN61,11-09-2024 20:20,P2P,Shopping,159,FAILED,56+,36-45,Tamil Nadu,SBI,PNB,Android,5G,0,20,Wednesday,0
TXN62,25-08-2024 15:26,P2P,Entertainment,475,SUCCESS,18-25,18-25,Karnataka,ICICI,HDFC,Android,4G,0,15,Sunday,1
TXN63,15-03-2024 17:31,P2M,Food,351,SUCCESS,26-35,36-45,Uttar Pradesh,Yes Bank,ICICI,Android,5G,0,17,Friday,0
TXN64,12-01-2024 08:34,P2P,Other,726,SUCCESS,26-35,18-25,Uttar Pradesh,SBI,PNB,Android,WiFi,0,8,Friday,0
TXN65,29-04-2024 17:25,P2P,Food,386,SUCCESS,26-35,18-25,Uttar Pradesh,SBI,Yes Bank,Android,4G,0,17,Monday,0
TXN66,29-04-2024 17:06,P2M,Food,55,SUCCESS,26-35,18-25,Rajasthan,ICICI,ICICI,iOS,4G,0,17,Monday,0
TXN67,14-07-2024 05:33,P2M,Other,394,SUCCESS,56+,46-55,Uttar Pradesh,SBI,ICICI,Android,4G,0,5,Sunday,1
TXN68,14-08-2024 18:30,P2M,Shopping,221,FAILED,46-55,26-35,Delhi,HDFC,IndusInd,iOS,5G,0,18,Wednesday,0
TXN69,06-11-2024 12:39,Bill Payment,Food,131,SUCCESS,26-35,18-25,Telangana,Axis,SBI,Android,4G,0,12,Wednesday,0
TXN70,08-04-2024 12:29,P2M,Fuel,257,SUCCESS,56+,26-35,Uttar Pradesh,PNB,Axis,Android,5G,0,12,Monday,0
TXN71,14-12-2024 12:14,Bill Payment,Shopping,183,SUCCESS,26-35,26-35,Gujarat,PNB,Yes Bank,iOS,4G,0,12,Saturday,1
TXN72,27-01-2024 08:43,P2P,Healthcare,1376,SUCCESS,36-45,36-45,Gujarat,IndusInd,Kotak,Android,4G,0,8,Saturday,1
TXN73,10-03-2024 16:12,P2P,Other,760,SUCCESS,36-45,36-45,Maharashtra,SBI,SBI,Android,4G,0,16,Sunday,1
TXN74,04-12-2024 18:27,Bill Payment,Utilities,2060,SUCCESS,36-45,46-55,Karnataka,Axis,ICICI,iOS,4G,0,18,Wednesday,0
TXN75,29-08-2024 21:38,P2P,Food,929,SUCCESS,26-35,26-35,West Bengal,SBI,Yes Bank,iOS,4G,0,21,Thursday,0
TXN76,19-05-2024 19:09,P2P,Transport,89,SUCCESS,36-45,36-45,Karnataka,PNB,Kotak,Android,5G,0,19,Sunday,1
TXN77,16-12-2024 14:23,Bill Payment,Utilities,417,SUCCESS,36-45,36-45,Telangana,HDFC,SBI,Android,5G,0,14,Monday,0
TXN78,04-09-2024 20:34,P2P,Utilities,1415,SUCCESS,36-45,36-45,Tamil Nadu,ICICI,SBI,Android,4G,0,20,Wednesday,0
TXN79,18-09-2024 07:14,P2M,Education,588,SUCCESS,26-35,36-45,Rajasthan,Yes Bank,Axis,Android,4G,0,7,Wednesday,0
TXN80,08-11-2024 20:26,P2M,Utilities,8335,SUCCESS,46-55,46-55,West Bengal,Axis,IndusInd,Web,4G,0,20,Friday,0
TXN81,20-10-2024 13:14,Bill Payment,Utilities,4279,SUCCESS,36-45,36-45,Uttar Pradesh,PNB,SBI,Android,5G,0,13,Sunday,1
TXN82,03-08-2024 13:15,P2M,Utilities,318,SUCCESS,36-45,18-25,Andhra Pradesh,PNB,Axis,Android,5G,0,13,Saturday,1
TXN83,03-01-2024 10:03,P2M,Shopping,1496,SUCCESS,46-55,36-45,Uttar Pradesh,PNB,Kotak,Android,4G,0,10,Wednesday,0
TXN84,04-11-2024 18:06,P2P,Utilities,924,SUCCESS,18-25,36-45,Karnataka,ICICI,ICICI,Android,4G,0,18,Monday,0
TXN85,30-04-2024 19:43,P2P,Food,291,SUCCESS,36-45,46-55,Maharashtra,HDFC,ICICI,Web,4G,0,19,Tuesday,0
TXN86,02-09-2024 18:42,Bill Payment,Grocery,665,SUCCESS,36-45,46-55,Maharashtra,Kotak,HDFC,iOS,4G,0,18,Monday,0
TXN87,20-01-2024 11:01,P2P,Fuel,669,SUCCESS,36-45,36-45,Delhi,SBI,ICICI,iOS,3G,0,11,Saturday,1
TXN88,27-09-2024 22:15,Recharge,Grocery,1855,SUCCESS,36-45,36-45,Tamil Nadu,IndusInd,ICICI,Android,4G,0,22,Friday,0
TXN89,03-04-2024 12:09,P2M,Utilities,1015,SUCCESS,18-25,26-35,Uttar Pradesh,Axis,SBI,iOS,4G,0,12,Wednesday,0
TXN90,01-08-2024 09:40,P2M,Other,188,SUCCESS,26-35,36-45,Gujarat,PNB,Kotak,Android,4G,0,9,Thursday,0
TXN91,14-07-2024 12:18,P2P,Other,1702,SUCCESS,26-35,18-25,Telangana,SBI,SBI,Android,4G,0,12,Sunday,1
TXN92,04-08-2024 10:24,Bill Payment,Food,1816,SUCCESS,18-25,18-25,Rajasthan,Kotak,SBI,Android,4G,0,10,Sunday,1
TXN93,19-05-2024 18:03,P2P,Other,712,SUCCESS,46-55,26-35,Gujarat,SBI,PNB,Android,5G,0,18,Sunday,1
TXN94,12-10-2024 20:55,P2M,Grocery,461,SUCCESS,26-35,18-25,Karnataka,SBI,IndusInd,Android,5G,0,20,Saturday,1
TXN95,22-01-2024 16:45,P2P,Transport,224,SUCCESS,26-35,18-25,Gujarat,Axis,SBI,Android,5G,0,16,Monday,0
TXN96,23-03-2024 22:12,P2P,Shopping,2202,SUCCESS,36-45,46-55,West Bengal,Axis,SBI,Android,4G,0,22,Saturday,1
TXN97,19-02-2024 18:16,Bill Payment,Shopping,7821,SUCCESS,26-35,26-35,Rajasthan,Yes Bank,Kotak,Web,5G,0,18,Monday,0
TXN98,14-04-2024 20:11,P2M,Shopping,2135,SUCCESS,18-25,26-35,Maharashtra,ICICI,HDFC,Android,4G,0,20,Sunday,1
TXN99,16-07-2024 12:59,P2P,Utilities,2776,SUCCESS,36-45,26-35,Telangana,IndusInd,SBI,Android,3G,0,12,Tuesday,0
TXN100,24-10-2024 16:39,P2M,Grocery,543,SUCCESS,26-35,26-35,Karnataka,HDFC,Axis,Android,4G,0,16,Thursday,0
TXN101,09-12-2024 19:55,P2P,Food,215,SUCCESS,18-25,26-35,Karnataka,ICICI,Kotak,Android,4G,0,19,Monday,0
TXN102,19-02-2024 18:16,P2M,Education,8754,SUCCESS,36-45,26-35,West Bengal,ICICI,PNB,Android,4G,0,18,Monday,0
TXN103,25-08-2024 06:09,Bill Payment,Grocery,561,SUCCESS,26-35,26-35,Andhra Pradesh,ICICI,Axis,Android,4G,0,6,Sunday,1
TXN104,16-09-2024 18:23,P2P,Other,147,SUCCESS,26-35,36-45,West Bengal,SBI,ICICI,Android,4G,0,18,Monday,0
TXN105,09-06-2024 20:44,Bill Payment,Other,661,SUCCESS,36-45,36-45,West Bengal,Yes Bank,Kotak,iOS,4G,0,20,Sunday,1
TXN106,29-07-2024 20:35,P2M,Shopping,7145,SUCCESS,18-25,46-55,West Bengal,PNB,Yes Bank,Android,WiFi,0,20,Monday,0
TXN107,17-07-2024 10:07,P2P,Fuel,4468,SUCCESS,36-45,36-45,Gujarat,Kotak,Yes Bank,Android,5G,0,10,Wednesday,0
TXN108,24-12-2024 11:08,Bill Payment,Utilities,2850,SUCCESS,26-35,36-45,Rajasthan,Kotak,ICICI,Android,WiFi,0,11,Tuesday,0
TXN109,13-10-2024 20:29,P2M,Utilities,2142,SUCCESS,18-25,36-45,Rajasthan,ICICI,IndusInd,Android,4G,0,20,Sunday,1
TXN110,19-07-2024 11:30,Recharge,Food,61,SUCCESS,26-35,26-35,Maharashtra,PNB,SBI,Android,5G,0,11,Friday,0
TXN111,16-04-2024 16:11,P2P,Food,1288,SUCCESS,36-45,46-55,Gujarat,SBI,ICICI,Android,4G,0,16,Tuesday,0
TXN112,11-08-2024 19:39,P2P,Food,1014,SUCCESS,36-45,36-45,Delhi,IndusInd,PNB,Android,3G,0,19,Sunday,1
TXN113,05-02-2024 19:13,Bill Payment,Other,2474,SUCCESS,56+,46-55,Delhi,Axis,HDFC,Web,WiFi,0,19,Monday,0
TXN114,25-11-2024 19:54,P2M,Healthcare,861,SUCCESS,56+,26-35,Rajasthan,Yes Bank,SBI,Android,5G,0,19,Monday,0
TXN115,26-04-2024 20:45,P2P,Transport,507,SUCCESS,36-45,36-45,Andhra Pradesh,SBI,Axis,Android,5G,0,20,Friday,0
TXN116,06-08-2024 13:16,P2M,Shopping,404,SUCCESS,18-25,46-55,Gujarat,ICICI,SBI,Android,4G,0,13,Tuesday,0
TXN117,04-02-2024 17:37,P2M,Other,621,SUCCESS,36-45,18-25,Delhi,SBI,Yes Bank,iOS,WiFi,0,17,Sunday,1
TXN118,24-10-2024 09:26,Bill Payment,Fuel,1830,SUCCESS,18-25,18-25,Telangana,IndusInd,SBI,Android,4G,0,9,Thursday,0
TXN119,03-04-2024 13:21,P2M,Other,657,SUCCESS,26-35,26-35,Delhi,PNB,HDFC,iOS,4G,0,13,Wednesday,0
TXN120,25-10-2024 11:34,P2P,Shopping,6804,SUCCESS,26-35,26-35,Karnataka,Yes Bank,SBI,Android,5G,0,11,Friday,0
TXN121,20-03-2024 05:14,P2P,Utilities,261,SUCCESS,26-35,26-35,Gujarat,HDFC,SBI,Android,4G,0,5,Wednesday,0
TXN122,20-01-2024 13:38,P2P,Entertainment,268,SUCCESS,26-35,26-35,Uttar Pradesh,HDFC,PNB,Android,WiFi,0,13,Saturday,1
TXN123,03-01-2024 14:46,P2P,Transport,1410,SUCCESS,26-35,18-25,Karnataka,SBI,Yes Bank,Android,4G,0,14,Wednesday,0
TXN124,23-01-2024 11:47,P2P,Utilities,342,SUCCESS,26-35,26-35,Uttar Pradesh,Kotak,SBI,iOS,WiFi,0,11,Tuesday,0
TXN125,09-04-2024 13:39,Bill Payment,Utilities,3941,SUCCESS,36-45,26-35,Telangana,HDFC,HDFC,iOS,4G,0,13,Tuesday,0
TXN126,12-05-2024 11:54,P2M,Grocery,4073,SUCCESS,36-45,56+,Gujarat,Axis,Yes Bank,Android,WiFi,0,11,Sunday,1
TXN127,29-04-2024 15:05,P2M,Food,91,SUCCESS,56+,46-55,Telangana,Axis,SBI,Android,4G,0,15,Monday,0
TXN128,14-09-2024 13:32,Bill Payment,Entertainment,209,SUCCESS,56+,46-55,Karnataka,HDFC,ICICI,Web,4G,0,13,Saturday,1
TXN129,09-03-2024 18:13,P2P,Transport,37,SUCCESS,26-35,26-35,Karnataka,HDFC,IndusInd,Android,5G,0,18,Saturday,1
TXN130,05-09-2024 11:42,P2P,Fuel,596,SUCCESS,26-35,18-25,Maharashtra,Axis,HDFC,Android,4G,0,11,Thursday,0
TXN131,10-10-2024 23:26,P2M,Transport,66,SUCCESS,36-45,36-45,Maharashtra,ICICI,PNB,iOS,4G,0,23,Thursday,0
TXN132,28-12-2024 10:47,Recharge,Food,225,SUCCESS,26-35,36-45,Maharashtra,ICICI,HDFC,Android,4G,0,10,Saturday,1
TXN133,05-04-2024 20:33,P2M,Entertainment,187,SUCCESS,26-35,18-25,Delhi,SBI,Axis,Android,4G,0,20,Friday,0
TXN134,15-10-2024 19:38,P2P,Shopping,7155,SUCCESS,18-25,46-55,Tamil Nadu,ICICI,IndusInd,Android,4G,0,19,Tuesday,0
TXN135,14-12-2024 19:24,Bill Payment,Shopping,5879,SUCCESS,18-25,18-25,Telangana,SBI,PNB,Android,5G,0,19,Saturday,1
TXN136,02-09-2024 20:42,P2P,Entertainment,561,SUCCESS,36-45,56+,Delhi,SBI,Yes Bank,Android,WiFi,0,20,Monday,0
TXN137,02-12-2024 13:26,Bill Payment,Utilities,6011,SUCCESS,36-45,18-25,Maharashtra,SBI,Yes Bank,Android,4G,0,13,Monday,0
TXN138,15-08-2024 07:34,P2P,Entertainment,223,SUCCESS,26-35,26-35,Telangana,SBI,SBI,Android,5G,0,7,Thursday,0
TXN139,07-11-2024 15:35,Bill Payment,Fuel,4864,SUCCESS,46-55,36-45,Maharashtra,Kotak,SBI,iOS,WiFi,0,15,Thursday,0
TXN140,04-09-2024 16:28,P2M,Food,2350,SUCCESS,26-35,26-35,Delhi,SBI,IndusInd,Android,5G,0,16,Wednesday,0
TXN141,09-04-2024 14:17,P2M,Utilities,284,SUCCESS,26-35,26-35,Telangana,SBI,Kotak,Android,4G,0,14,Tuesday,0
TXN142,22-06-2024 23:08,P2P,Shopping,1174,SUCCESS,36-45,46-55,West Bengal,IndusInd,HDFC,Android,4G,0,23,Saturday,1
TXN143,15-08-2024 19:38,P2P,Shopping,1773,SUCCESS,46-55,36-45,Maharashtra,IndusInd,ICICI,Android,4G,0,19,Thursday,0
TXN144,07-01-2024 09:55,P2P,Grocery,2839,SUCCESS,26-35,26-35,Uttar Pradesh,HDFC,SBI,iOS,4G,0,9,Sunday,1
TXN145,13-06-2024 08:59,P2P,Shopping,3757,SUCCESS,46-55,26-35,Uttar Pradesh,SBI,SBI,Android,4G,0,8,Thursday,0
TXN146,14-10-2024 12:46,P2P,Grocery,599,SUCCESS,46-55,26-35,Uttar Pradesh,ICICI,ICICI,Android,4G,0,12,Monday,0
TXN147,18-02-2024 16:12,P2P,Healthcare,720,SUCCESS,26-35,18-25,Gujarat,PNB,ICICI,iOS,4G,0,16,Sunday,1
TXN148,05-05-2024 12:38,P2M,Food,646,SUCCESS,26-35,36-45,Rajasthan,IndusInd,SBI,Android,5G,0,12,Sunday,1
TXN149,06-06-2024 19:51,P2M,Food,211,SUCCESS,26-35,18-25,Delhi,SBI,SBI,iOS,4G,0,19,Thursday,0
TXN150,19-08-2024 17:33,P2P,Transport,58,SUCCESS,36-45,46-55,Rajasthan,IndusInd,PNB,Android,5G,0,17,Monday,0
TXN151,17-05-2024 17:03,P2P,Food,377,SUCCESS,36-45,46-55,Maharashtra,ICICI,SBI,iOS,5G,0,17,Friday,0
TXN152,08-03-2024 21:15,Recharge,Transport,1072,SUCCESS,36-45,18-25,Maharashtra,Axis,HDFC,Android,5G,0,21,Friday,0
TXN153,05-02-2024 08:16,P2M,Transport,16,FAILED,26-35,26-35,Uttar Pradesh,PNB,PNB,Android,WiFi,0,8,Monday,0
TXN154,13-11-2024 17:30,P2P,Food,1753,SUCCESS,26-35,18-25,Karnataka,PNB,Axis,Android,WiFi,0,17,Wednesday,0
TXN155,21-12-2024 10:58,P2P,Grocery,345,SUCCESS,18-25,26-35,West Bengal,ICICI,SBI,iOS,4G,0,10,Saturday,1
TXN156,22-02-2024 11:42,P2M,Grocery,174,SUCCESS,18-25,36-45,Uttar Pradesh,HDFC,SBI,Android,4G,0,11,Thursday,0
TXN157,01-11-2024 12:59,P2P,Entertainment,69,SUCCESS,26-35,26-35,Uttar Pradesh,SBI,PNB,Android,4G,0,12,Friday,0
TXN158,09-05-2024 16:22,P2M,Grocery,301,SUCCESS,36-45,18-25,Telangana,SBI,ICICI,Android,4G,0,16,Thursday,0
TXN159,02-06-2024 22:38,Recharge,Utilities,3091,SUCCESS,26-35,18-25,Maharashtra,ICICI,IndusInd,Android,4G,0,22,Sunday,1
TXN160,16-02-2024 18:51,Bill Payment,Shopping,9619,SUCCESS,18-25,18-25,Maharashtra,SBI,IndusInd,Android,4G,0,18,Friday,0
TXN161,13-09-2024 12:17,P2P,Entertainment,727,SUCCESS,36-45,26-35,Gujarat,Yes Bank,Yes Bank,iOS,4G,0,12,Friday,0
TXN162,12-10-2024 17:50,P2M,Fuel,375,SUCCESS,56+,26-35,Rajasthan,HDFC,Axis,Android,4G,0,17,Saturday,1
TXN163,29-12-2024 15:13,P2M,Grocery,700,SUCCESS,36-45,36-45,Maharashtra,Kotak,Yes Bank,Android,5G,0,15,Sunday,1
TXN164,19-05-2024 17:12,Bill Payment,Shopping,2289,SUCCESS,18-25,18-25,Andhra Pradesh,Kotak,Kotak,Android,5G,0,17,Sunday,1
TXN165,14-12-2024 17:48,P2P,Fuel,797,SUCCESS,26-35,36-45,Tamil Nadu,SBI,SBI,Web,5G,0,17,Saturday,1
TXN166,29-10-2024 04:05,P2P,Shopping,9228,SUCCESS,18-25,18-25,West Bengal,SBI,Yes Bank,Android,WiFi,0,4,Tuesday,0
TXN167,13-02-2024 16:30,P2P,Other,1553,SUCCESS,26-35,18-25,Karnataka,PNB,SBI,Android,3G,0,16,Tuesday,0
TXN168,18-08-2024 09:16,P2M,Entertainment,578,SUCCESS,26-35,18-25,Andhra Pradesh,HDFC,HDFC,Android,4G,0,9,Sunday,1
TXN169,20-07-2024 20:07,P2M,Food,232,FAILED,26-35,26-35,Andhra Pradesh,Axis,SBI,iOS,WiFi,0,20,Saturday,1
TXN170,30-07-2024 18:10,P2M,Fuel,2545,SUCCESS,36-45,26-35,Uttar Pradesh,SBI,SBI,iOS,4G,0,18,Tuesday,0
TXN171,25-01-2024 07:20,P2P,Shopping,457,SUCCESS,56+,26-35,Maharashtra,SBI,IndusInd,Android,4G,0,7,Thursday,0
TXN172,27-09-2024 05:16,Recharge,Grocery,317,SUCCESS,26-35,18-25,Delhi,Yes Bank,IndusInd,Android,3G,0,5,Friday,0
TXN173,13-08-2024 18:50,P2M,Food,132,SUCCESS,26-35,46-55,Uttar Pradesh,SBI,SBI,Android,4G,0,18,Tuesday,0
TXN174,04-04-2024 12:34,P2P,Grocery,1414,SUCCESS,46-55,26-35,Rajasthan,IndusInd,SBI,Android,4G,0,12,Thursday,0
TXN175,17-03-2024 17:51,P2M,Food,355,SUCCESS,26-35,26-35,Maharashtra,SBI,Yes Bank,Android,4G,0,17,Sunday,1
TXN176,15-01-2024 10:49,P2M,Education,2335,SUCCESS,18-25,26-35,Maharashtra,Axis,SBI,Android,4G,0,10,Monday,0
TXN177,24-09-2024 18:42,P2M,Fuel,443,SUCCESS,36-45,26-35,Andhra Pradesh,Kotak,SBI,Android,4G,0,18,Tuesday,0
TXN178,05-05-2024 20:50,P2P,Food,167,SUCCESS,36-45,36-45,Tamil Nadu,PNB,SBI,Android,5G,0,20,Sunday,1
TXN179,21-07-2024 19:48,P2P,Shopping,7210,SUCCESS,26-35,18-25,Maharashtra,Axis,Axis,Android,5G,0,19,Sunday,1
TXN180,07-06-2024 21:47,P2P,Utilities,2148,SUCCESS,18-25,26-35,Uttar Pradesh,SBI,SBI,Android,5G,0,21,Friday,0
TXN181,20-01-2024 19:24,P2M,Food,57,SUCCESS,18-25,18-25,Maharashtra,SBI,HDFC,Android,4G,0,19,Saturday,1
